event_id,timestamp_utc,host,user,process_name,event_type,ioc_type,ioc_value,source_ip
evt-registry_keys-000015,2026-06-01T09:20:53+00:00,ENG-LAB-053,user076,winword.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows\CurrentVersion\RunOnce\SampleService,10.3.208.85
evt-registry_keys-000016,2026-06-01T09:48:02+00:00,ENG-LAB-013,user008,python.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows\CurrentVersion\Run\TestPersistence,10.2.234.81
evt-registry_keys-000017,2026-06-01T11:17:06+00:00,ENG-LAB-009,user096,outlook.exe,registry_write,Registry Key,HKCU\Software\Classes\ms-settings\Shell\Open\command\DemoValue,10.0.127.50
evt-registry_keys-000018,2026-06-01T13:13:03+00:00,ENG-LAB-042,user090,winword.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows\CurrentVersion\RunOnce\SampleService,10.1.110.246
evt-registry_keys-000019,2026-06-01T15:29:46+00:00,ENG-LAB-030,user033,svchost.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\Run,10.0.117.18
evt-registry_keys-000020,2026-06-01T15:44:41+00:00,ENG-LAB-042,user098,reg.exe,registry_write,Registry Key,HKLM\Software\Classes\ms-settings\Shell\Open\command,10.1.18.214
evt-registry_keys-000021,2026-06-01T16:16:32+00:00,ENG-LAB-054,user081,teams.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\DemoValue,10.2.226.157
evt-registry_keys-000022,2026-06-01T17:02:39+00:00,ENG-LAB-004,user002,outlook.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows\CurrentVersion\Run\SampleService,10.0.47.163
evt-registry_keys-000023,2026-06-01T17:29:25+00:00,ENG-LAB-055,user044,powershell.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\TestPersistence,10.0.170.198
evt-registry_keys-000024,2026-06-01T17:41:15+00:00,ENG-LAB-004,user016,chrome.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows\CurrentVersion\RunOnce\LabUpdater,10.2.35.226
evt-registry_keys-000025,2026-06-01T18:18:17+00:00,ENG-LAB-028,user072,reg.exe,registry_write,Registry Key,HKLM\Software\Policies\Microsoft\Windows\System,10.2.181.54
evt-registry_keys-000026,2026-06-01T20:17:31+00:00,ENG-LAB-028,user060,reg.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows\CurrentVersion\Run\LabUpdater,10.0.169.160
evt-registry_keys-000027,2026-06-01T20:21:25+00:00,ENG-LAB-053,user081,reg.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\Explorer\StartupApproved\Run\SampleService,10.3.0.134
evt-registry_keys-000028,2026-06-01T20:27:16+00:00,ENG-LAB-047,user062,msedge.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\RunOnce\TestPersistence,10.2.174.29
evt-registry_keys-000029,2026-06-01T21:08:52+00:00,ENG-LAB-015,user086,teams.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\SampleService,10.1.242.63
evt-registry_keys-000030,2026-06-01T21:10:59+00:00,ENG-LAB-035,user016,outlook.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\StartupApproved\Run\TestPersistence,10.0.31.192
evt-registry_keys-000031,2026-06-01T21:31:29+00:00,ENG-LAB-047,user076,python.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\TestPersistence,10.3.84.216
evt-registry_keys-000032,2026-06-01T21:34:39+00:00,ENG-LAB-001,user025,powershell.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\Run\SampleService,10.3.79.237
evt-registry_keys-000033,2026-06-01T22:55:02+00:00,ENG-LAB-029,user025,chrome.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\DemoValue,10.0.47.56
evt-registry_keys-000034,2026-06-02T00:06:38+00:00,ENG-LAB-004,user001,outlook.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\Run\DemoValue,10.2.111.248
evt-registry_keys-000035,2026-06-02T01:39:59+00:00,ENG-LAB-008,user051,outlook.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows\CurrentVersion\RunOnce\TestPersistence,10.2.223.156
evt-registry_keys-000036,2026-06-02T02:36:16+00:00,ENG-LAB-038,user016,python.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\Explorer\StartupApproved\Run\SampleService,10.0.170.198
evt-registry_keys-000037,2026-06-02T02:43:16+00:00,ENG-LAB-001,user056,rundll32.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\LabUpdater,10.0.193.21
evt-registry_keys-000038,2026-06-02T03:18:45+00:00,ENG-LAB-006,user050,svchost.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options,10.1.21.79
evt-registry_keys-000039,2026-06-02T03:50:27+00:00,ENG-LAB-041,user063,teams.exe,registry_write,Registry Key,HKLM\System\CurrentControlSet\Services\TestPersistence,10.2.104.176
evt-registry_keys-000040,2026-06-02T04:48:21+00:00,ENG-LAB-055,user012,svchost.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\StartupApproved\Run,10.1.249.57
evt-registry_keys-000041,2026-06-02T04:51:29+00:00,ENG-LAB-011,user028,powershell.exe,registry_write,Registry Key,HKCU\Software\Policies\Microsoft\Windows\System\DemoValue,10.2.75.111
evt-registry_keys-000042,2026-06-02T05:45:02+00:00,ENG-LAB-055,user009,outlook.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows\CurrentVersion\RunOnce\SampleService,10.3.169.241
evt-registry_keys-000043,2026-06-02T06:40:45+00:00,ENG-LAB-009,user026,msedge.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\Explorer\StartupApproved\Run\DemoValue,10.1.109.17
evt-registry_keys-000044,2026-06-02T07:38:04+00:00,ENG-LAB-020,user078,msedge.exe,registry_write,Registry Key,HKLM\System\CurrentControlSet\Services\DemoValue,10.0.98.103
evt-registry_keys-000045,2026-06-02T08:45:00+00:00,ENG-LAB-049,user069,chrome.exe,registry_write,Registry Key,HKLM\System\CurrentControlSet\Services\SampleService,10.3.167.104
evt-registry_keys-000046,2026-06-02T08:50:38+00:00,ENG-LAB-047,user017,rundll32.exe,registry_write,Registry Key,HKCU\Software\Policies\Microsoft\Windows\System\TestPersistence,10.0.95.18
evt-registry_keys-000047,2026-06-02T08:56:10+00:00,ENG-LAB-039,user080,chrome.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\SampleService,10.3.208.85
evt-registry_keys-000048,2026-06-02T09:14:51+00:00,ENG-LAB-054,user097,chrome.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\RunOnce\SampleService,10.3.239.222
evt-registry_keys-000049,2026-06-02T10:17:30+00:00,ENG-LAB-054,user054,rundll32.exe,registry_write,Registry Key,HKLM\Software\Classes\ms-settings\Shell\Open\command,10.3.61.64
evt-registry_keys-000050,2026-06-02T11:18:10+00:00,ENG-LAB-002,user072,rundll32.exe,registry_write,Registry Key,HKLM\System\CurrentControlSet\Services,10.0.235.138
evt-registry_keys-000051,2026-06-02T11:47:09+00:00,ENG-LAB-045,user052,teams.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\LabUpdater,10.2.222.41
evt-registry_keys-000052,2026-06-02T11:58:36+00:00,ENG-LAB-017,user094,svchost.exe,registry_write,Registry Key,HKLM\Software\Policies\Microsoft\Windows\System\SampleService,10.1.249.57
evt-registry_keys-000053,2026-06-02T12:04:03+00:00,ENG-LAB-003,user033,reg.exe,registry_write,Registry Key,HKCU\Software\Classes\ms-settings\Shell\Open\command\DemoValue,10.1.211.7
evt-registry_keys-000054,2026-06-02T12:19:11+00:00,ENG-LAB-035,user042,powershell.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows\CurrentVersion\Run,10.1.109.17
evt-registry_keys-000055,2026-06-02T12:32:20+00:00,ENG-LAB-046,user062,teams.exe,registry_write,Registry Key,HKLM\Software\Policies\Microsoft\Windows\System\LabUpdater,10.1.32.87
evt-registry_keys-000056,2026-06-02T12:34:53+00:00,ENG-LAB-028,user045,powershell.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\DemoValue,10.1.142.172
evt-registry_keys-000057,2026-06-02T13:06:02+00:00,ENG-LAB-013,user076,chrome.exe,registry_write,Registry Key,HKCU\Software\Policies\Microsoft\Windows\System\DemoValue,10.2.158.171
evt-registry_keys-000058,2026-06-02T14:09:10+00:00,ENG-LAB-004,user043,winword.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\Run\TestPersistence,10.3.65.252
evt-registry_keys-000059,2026-06-02T14:31:14+00:00,ENG-LAB-018,user018,reg.exe,registry_write,Registry Key,HKLM\System\CurrentControlSet\Services\DemoValue,10.3.214.138
evt-registry_keys-000060,2026-06-02T14:43:09+00:00,ENG-LAB-043,user017,python.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options,10.3.65.252
evt-registry_keys-000061,2026-06-02T17:50:09+00:00,ENG-LAB-012,user098,outlook.exe,registry_write,Registry Key,HKLM\Software\Classes\ms-settings\Shell\Open\command\LabUpdater,10.1.110.246
evt-registry_keys-000062,2026-06-02T17:53:07+00:00,ENG-LAB-009,user025,powershell.exe,registry_write,Registry Key,HKLM\Software\Classes\ms-settings\Shell\Open\command\SampleService,10.3.69.222
evt-registry_keys-000063,2026-06-02T19:03:14+00:00,ENG-LAB-004,user036,outlook.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\Run\SampleService,10.0.59.225
evt-registry_keys-000064,2026-06-02T19:28:28+00:00,ENG-LAB-018,user053,python.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\Explorer\StartupApproved\Run\DemoValue,10.1.159.103
evt-registry_keys-000065,2026-06-02T20:19:26+00:00,ENG-LAB-022,user097,msedge.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\StartupApproved\Run\LabUpdater,10.2.91.149
evt-registry_keys-000066,2026-06-02T21:08:13+00:00,ENG-LAB-058,user099,msedge.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\RunOnce\LabUpdater,10.3.135.238
evt-registry_keys-000067,2026-06-02T22:20:28+00:00,ENG-LAB-029,user100,reg.exe,registry_write,Registry Key,HKLM\Software\Policies\Microsoft\Windows\System\TestPersistence,10.3.25.143
evt-registry_keys-000068,2026-06-02T22:25:56+00:00,ENG-LAB-024,user009,powershell.exe,registry_write,Registry Key,HKLM\Software\Policies\Microsoft\Windows\System,10.3.93.72
evt-registry_keys-000069,2026-06-02T22:26:37+00:00,ENG-LAB-033,user097,chrome.exe,registry_write,Registry Key,HKLM\Software\Classes\ms-settings\Shell\Open\command\TestPersistence,10.2.53.241
evt-registry_keys-000070,2026-06-02T23:25:30+00:00,ENG-LAB-017,user070,msedge.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\DemoValue,10.3.212.16
evt-registry_keys-000071,2026-06-03T01:23:40+00:00,ENG-LAB-026,user041,teams.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\Explorer\StartupApproved\Run\LabUpdater,10.1.78.96
evt-registry_keys-000072,2026-06-03T01:55:40+00:00,ENG-LAB-044,user026,rundll32.exe,registry_write,Registry Key,HKCU\System\CurrentControlSet\Services,10.2.35.226
evt-registry_keys-000073,2026-06-03T04:44:34+00:00,ENG-LAB-044,user083,python.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\DemoValue,10.2.36.156
evt-registry_keys-000074,2026-06-03T07:03:46+00:00,ENG-LAB-028,user042,teams.exe,registry_write,Registry Key,HKCU\Software\Policies\Microsoft\Windows\System\TestPersistence,10.3.127.224
evt-registry_keys-000075,2026-06-03T09:48:47+00:00,ENG-LAB-009,user025,msedge.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\StartupApproved\Run,10.1.220.202
evt-registry_keys-000076,2026-06-03T10:12:03+00:00,ENG-LAB-020,user086,powershell.exe,registry_write,Registry Key,HKLM\System\CurrentControlSet\Services\LabUpdater,10.2.122.68
evt-registry_keys-000077,2026-06-03T11:35:18+00:00,ENG-LAB-050,user012,chrome.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\Explorer\StartupApproved\Run\TestPersistence,10.1.134.42
evt-registry_keys-000078,2026-06-03T13:10:35+00:00,ENG-LAB-009,user077,python.exe,registry_write,Registry Key,HKCU\System\CurrentControlSet\Services,10.2.126.216
evt-registry_keys-000079,2026-06-03T13:26:22+00:00,ENG-LAB-028,user006,rundll32.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\Explorer\StartupApproved\Run,10.0.117.18
evt-registry_keys-000080,2026-06-03T13:37:40+00:00,ENG-LAB-030,user055,teams.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\Run\SampleService,10.0.70.39
evt-registry_keys-000081,2026-06-03T14:35:25+00:00,ENG-LAB-038,user025,outlook.exe,registry_write,Registry Key,HKLM\Software\Classes\ms-settings\Shell\Open\command,10.1.78.96
evt-registry_keys-000082,2026-06-03T15:12:51+00:00,ENG-LAB-021,user041,msedge.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows\CurrentVersion\Run\LabUpdater,10.3.246.55
evt-registry_keys-000083,2026-06-03T16:17:09+00:00,ENG-LAB-007,user058,powershell.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows\CurrentVersion\Run\LabUpdater,10.1.148.253
evt-registry_keys-000084,2026-06-03T16:19:29+00:00,ENG-LAB-032,user059,outlook.exe,registry_write,Registry Key,HKLM\Software\Classes\ms-settings\Shell\Open\command\DemoValue,10.2.223.125
evt-registry_keys-000085,2026-06-03T19:53:58+00:00,ENG-LAB-017,user005,chrome.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options,10.1.32.87
evt-registry_keys-000086,2026-06-03T20:11:34+00:00,ENG-LAB-048,user079,rundll32.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\RunOnce\TestPersistence,10.3.84.216
evt-registry_keys-000087,2026-06-03T22:43:20+00:00,ENG-LAB-034,user074,winword.exe,registry_write,Registry Key,HKLM\System\CurrentControlSet\Services\TestPersistence,10.3.174.72
evt-registry_keys-000088,2026-06-03T22:51:23+00:00,ENG-LAB-055,user066,powershell.exe,registry_write,Registry Key,HKLM\Software\Policies\Microsoft\Windows\System\DemoValue,10.3.35.251
evt-registry_keys-000089,2026-06-04T00:01:31+00:00,ENG-LAB-005,user009,powershell.exe,registry_write,Registry Key,HKCU\System\CurrentControlSet\Services\TestPersistence,10.2.116.58
evt-registry_keys-000090,2026-06-04T00:36:12+00:00,ENG-LAB-027,user073,winword.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\RunOnce\SampleService,10.1.216.153
evt-registry_keys-000091,2026-06-04T01:50:03+00:00,ENG-LAB-034,user024,python.exe,registry_write,Registry Key,HKLM\Software\Policies\Microsoft\Windows\System\DemoValue,10.3.73.68
evt-registry_keys-000092,2026-06-04T03:06:07+00:00,ENG-LAB-002,user021,msedge.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\SampleService,10.3.25.143
evt-registry_keys-000093,2026-06-04T03:38:54+00:00,ENG-LAB-022,user024,msedge.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\Explorer\StartupApproved\Run\DemoValue,10.2.91.130
evt-registry_keys-000094,2026-06-04T04:18:51+00:00,ENG-LAB-051,user029,msedge.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\LabUpdater,10.0.145.132
evt-registry_keys-000095,2026-06-04T04:50:18+00:00,ENG-LAB-018,user023,reg.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\RunOnce\DemoValue,10.0.201.152
evt-registry_keys-000096,2026-06-04T04:57:38+00:00,ENG-LAB-031,user043,python.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\RunOnce\TestPersistence,10.0.170.198
evt-registry_keys-000097,2026-06-04T05:13:51+00:00,ENG-LAB-007,user012,msedge.exe,registry_write,Registry Key,HKLM\Software\Policies\Microsoft\Windows\System\TestPersistence,10.0.98.103
evt-registry_keys-000098,2026-06-04T05:57:28+00:00,ENG-LAB-039,user099,chrome.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options,10.1.0.154
evt-registry_keys-000099,2026-06-04T06:21:57+00:00,ENG-LAB-007,user088,winword.exe,registry_write,Registry Key,HKCU\Software\Policies\Microsoft\Windows\System\TestPersistence,10.0.12.190
evt-registry_keys-000100,2026-06-04T06:51:18+00:00,ENG-LAB-041,user094,powershell.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\DemoValue,10.0.58.175
evt-registry_keys-000101,2026-06-04T07:48:50+00:00,ENG-LAB-018,user041,rundll32.exe,registry_write,Registry Key,HKLM\Software\Classes\ms-settings\Shell\Open\command,10.3.169.241
evt-registry_keys-000102,2026-06-04T08:01:55+00:00,ENG-LAB-051,user002,svchost.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\RunOnce\DemoValue,10.0.59.225
evt-registry_keys-000103,2026-06-04T08:24:25+00:00,ENG-LAB-038,user098,svchost.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\Run\DemoValue,10.0.56.40
evt-registry_keys-000104,2026-06-04T08:55:02+00:00,ENG-LAB-057,user018,winword.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\Run\SampleService,10.1.83.250
evt-registry_keys-000105,2026-06-04T09:04:13+00:00,ENG-LAB-032,user037,chrome.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\SampleService,10.1.186.111
evt-registry_keys-000106,2026-06-04T09:19:05+00:00,ENG-LAB-023,user075,msedge.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\Explorer\StartupApproved\Run\DemoValue,10.3.185.57
evt-registry_keys-000107,2026-06-04T09:53:25+00:00,ENG-LAB-025,user073,msedge.exe,registry_write,Registry Key,HKCU\Software\Classes\ms-settings\Shell\Open\command\SampleService,10.1.216.153
evt-registry_keys-000108,2026-06-04T11:01:10+00:00,ENG-LAB-027,user016,python.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\StartupApproved\Run\SampleService,10.3.128.249
evt-registry_keys-000109,2026-06-04T11:57:26+00:00,ENG-LAB-007,user056,winword.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows\CurrentVersion\Run\DemoValue,10.1.196.178
evt-registry_keys-000110,2026-06-04T12:06:43+00:00,ENG-LAB-030,user010,svchost.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\StartupApproved\Run\TestPersistence,10.3.1.245
evt-registry_keys-000111,2026-06-04T12:28:38+00:00,ENG-LAB-024,user074,powershell.exe,registry_write,Registry Key,HKCU\Software\Classes\ms-settings\Shell\Open\command\LabUpdater,10.3.69.222
evt-registry_keys-000112,2026-06-04T13:08:54+00:00,ENG-LAB-009,user031,teams.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\TestPersistence,10.3.239.222
evt-registry_keys-000113,2026-06-04T13:35:42+00:00,ENG-LAB-025,user067,reg.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\Run\TestPersistence,10.1.214.57
evt-registry_keys-000114,2026-06-04T13:43:14+00:00,ENG-LAB-048,user006,powershell.exe,registry_write,Registry Key,HKCU\Software\Policies\Microsoft\Windows\System\TestPersistence,10.3.35.251
evt-registry_keys-000115,2026-06-04T14:28:08+00:00,ENG-LAB-058,user005,svchost.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\Explorer\StartupApproved\Run\TestPersistence,10.2.248.161
evt-registry_keys-000116,2026-06-04T14:52:30+00:00,ENG-LAB-025,user001,powershell.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\RunOnce\SampleService,10.0.142.90
evt-registry_keys-000117,2026-06-04T15:18:53+00:00,ENG-LAB-013,user097,teams.exe,registry_write,Registry Key,HKLM\Software\Classes\ms-settings\Shell\Open\command\TestPersistence,10.0.185.225
evt-registry_keys-000118,2026-06-04T16:31:40+00:00,ENG-LAB-039,user097,chrome.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\RunOnce\LabUpdater,10.2.219.230
evt-registry_keys-000119,2026-06-04T16:43:39+00:00,ENG-LAB-031,user085,msedge.exe,registry_write,Registry Key,HKLM\System\CurrentControlSet\Services\DemoValue,10.2.104.176
evt-registry_keys-000120,2026-06-04T17:09:52+00:00,ENG-LAB-056,user027,reg.exe,registry_write,Registry Key,HKLM\Software\Policies\Microsoft\Windows\System\LabUpdater,10.1.65.169
evt-registry_keys-000121,2026-06-04T17:30:23+00:00,ENG-LAB-007,user098,outlook.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\RunOnce\SampleService,10.2.248.161
evt-registry_keys-000122,2026-06-04T18:03:21+00:00,ENG-LAB-011,user077,svchost.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\Explorer\StartupApproved\Run\DemoValue,10.3.186.42
evt-registry_keys-000123,2026-06-04T19:27:49+00:00,ENG-LAB-060,user094,teams.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows\CurrentVersion\Run\LabUpdater,10.1.214.57
evt-registry_keys-000124,2026-06-04T20:19:23+00:00,ENG-LAB-055,user033,winword.exe,registry_write,Registry Key,HKCU\System\CurrentControlSet\Services\DemoValue,10.2.116.58
evt-registry_keys-000125,2026-06-04T22:40:41+00:00,ENG-LAB-021,user095,chrome.exe,registry_write,Registry Key,HKLM\System\CurrentControlSet\Services,10.3.49.92
evt-registry_keys-000126,2026-06-04T22:42:07+00:00,ENG-LAB-047,user093,outlook.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\RunOnce\SampleService,10.1.154.104
evt-registry_keys-000127,2026-06-05T01:12:20+00:00,ENG-LAB-040,user098,chrome.exe,registry_write,Registry Key,HKCU\Software\Policies\Microsoft\Windows\System\DemoValue,10.1.130.12
evt-registry_keys-000128,2026-06-05T01:27:53+00:00,ENG-LAB-018,user043,powershell.exe,registry_write,Registry Key,HKLM\Software\Microsoft\Windows\CurrentVersion\RunOnce,10.1.140.113
evt-registry_keys-000129,2026-06-05T02:41:02+00:00,ENG-LAB-008,user080,chrome.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows\CurrentVersion\Run,10.3.212.16
evt-registry_keys-000130,2026-06-05T02:58:01+00:00,ENG-LAB-042,user064,msedge.exe,registry_write,Registry Key,HKCU\System\CurrentControlSet\Services\LabUpdater,10.1.125.42
evt-registry_keys-000131,2026-06-05T03:57:13+00:00,ENG-LAB-048,user089,python.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\StartupApproved\Run\LabUpdater,10.0.127.50
evt-registry_keys-000132,2026-06-05T05:24:40+00:00,ENG-LAB-016,user082,powershell.exe,registry_write,Registry Key,HKCU\Software\Classes\ms-settings\Shell\Open\command\LabUpdater,10.0.169.160
evt-registry_keys-000133,2026-06-05T05:35:14+00:00,ENG-LAB-027,user040,powershell.exe,registry_write,Registry Key,HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\StartupApproved\Run\SampleService,10.3.61.64
evt-registry_keys-000134,2026-06-05T05:42:43+00:00,ENG-LAB-041,user031,svchost.exe,registry_write,Registry Key,HKLM\Software\Policies\Microsoft\Windows\System\TestPersistence,10.3.208.49
evt-registry_keys-000135,2026-06-05T06:25:31+00:00,ENG-LAB-036,user031,chrome.exe,registry_write,Registry Key,HKLM\System\CurrentControlSet\Services\TestPersistence,10.2.238.114
