event_id,timestamp_utc,host,user,process_name,event_type,ioc_type,ioc_value,detection_rule,source_ip,destination_ip
evt-urls-000049,2026-06-02T18:33:13+00:00,ENG-LAB-034,user013,msedge.exe,network_connection,URL,http://m.example.net/login,IOC-URL-644,10.3.67.172,203.0.113.98
evt-urls-000050,2026-06-02T19:24:44+00:00,ENG-LAB-050,user062,powershell.exe,network_connection,URL,https://cdn.example.com/cdn/js/app.js?id=a80b8f56,IOC-URL-966,10.0.155.74,203.0.113.241
evt-urls-000051,2026-06-02T19:42:38+00:00,ENG-LAB-003,user093,reg.exe,network_connection,URL,https://m.example.org/images/logo.png,IOC-URL-728,10.1.75.168,198.51.100.13
evt-urls-000052,2026-06-02T20:20:10+00:00,ENG-LAB-016,user023,python.exe,network_connection,URL,http://auth.telemetry.test/login?id=bc2650b1,IOC-URL-260,10.0.12.190,203.0.113.210
evt-urls-000053,2026-06-02T21:09:31+00:00,ENG-LAB-055,user056,svchost.exe,network_connection,URL,https://www.sample.invalid/collect,IOC-URL-978,10.1.125.42,198.51.100.205
evt-urls-000054,2026-06-02T21:50:20+00:00,ENG-LAB-039,user039,msedge.exe,network_connection,URL,http://assets.telemetry.test/download/package.bin?q=1691,IOC-URL-472,10.1.62.117,198.51.100.83
evt-urls-000055,2026-06-02T22:02:41+00:00,ENG-LAB-060,user050,outlook.exe,network_connection,URL,https://www.sample.invalid/login,IOC-URL-353,10.0.180.77,203.0.113.146
evt-urls-000056,2026-06-02T23:40:05+00:00,ENG-LAB-026,user023,outlook.exe,network_connection,URL,https://files.updates.example/cdn/js/app.js,IOC-URL-211,10.2.174.29,203.0.113.142
evt-urls-000057,2026-06-02T23:51:18+00:00,ENG-LAB-053,user085,teams.exe,network_connection,URL,http://cdn.example.com/login?id=118043c5,IOC-URL-304,10.1.125.42,203.0.113.14
evt-urls-000058,2026-06-03T00:04:40+00:00,ENG-LAB-053,user039,svchost.exe,network_connection,URL,http://files.example.org/download/package.bin?id=1939eea1,IOC-URL-104,10.2.223.156,203.0.113.121
evt-urls-000059,2026-06-03T00:51:41+00:00,ENG-LAB-037,user030,python.exe,network_connection,URL,http://files.updates.example/news?utm=test,IOC-URL-279,10.2.4.171,198.51.100.198
evt-urls-000060,2026-06-03T01:18:39+00:00,ENG-LAB-039,user065,reg.exe,network_connection,URL,http://files.sample.invalid/login?utm=lab,IOC-URL-694,10.3.176.187,198.51.100.235
evt-urls-000061,2026-06-03T01:33:01+00:00,ENG-LAB-031,user086,outlook.exe,network_connection,URL,https://assets.updates.example/collect?utm=lab,IOC-URL-820,10.3.218.144,198.51.100.186
evt-urls-000062,2026-06-03T01:48:45+00:00,ENG-LAB-016,user046,reg.exe,network_connection,URL,https://m.updates.example/cdn/js/app.js?id=8b349df0,IOC-URL-150,10.2.226.157,203.0.113.154
evt-urls-000063,2026-06-03T06:09:50+00:00,ENG-LAB-045,user015,python.exe,network_connection,URL,https://auth.telemetry.test/portal/auth?utm=test,IOC-URL-540,10.0.170.198,198.51.100.201
evt-urls-000064,2026-06-03T06:38:44+00:00,ENG-LAB-044,user027,svchost.exe,network_connection,URL,http://api.example.com/portal/auth?utm=test,IOC-URL-614,10.0.201.152,198.51.100.88
evt-urls-000065,2026-06-03T06:48:55+00:00,ENG-LAB-055,user057,msedge.exe,network_connection,URL,http://files.updates.example/download/package.bin?id=89dc9ee8,IOC-URL-567,10.0.216.9,198.51.100.116
evt-urls-000066,2026-06-03T07:33:47+00:00,ENG-LAB-060,user022,msedge.exe,network_connection,URL,http://api.updates.example/api/v1/checkin?q=3348,IOC-URL-303,10.3.146.109,203.0.113.103
evt-urls-000067,2026-06-03T07:38:52+00:00,ENG-LAB-036,user006,python.exe,network_connection,URL,https://assets.example.com/images/logo.png,IOC-URL-271,10.1.158.58,203.0.113.61
evt-urls-000068,2026-06-03T07:55:47+00:00,ENG-LAB-054,user084,winword.exe,network_connection,URL,http://m.telemetry.test/portal/auth?q=1681,IOC-URL-995,10.0.81.179,203.0.113.231
evt-urls-000069,2026-06-03T07:56:13+00:00,ENG-LAB-010,user065,winword.exe,network_connection,URL,https://www.example.org/cdn/js/app.js?q=8944,IOC-URL-914,10.0.197.231,198.51.100.61
evt-urls-000070,2026-06-03T08:12:25+00:00,ENG-LAB-053,user092,msedge.exe,network_connection,URL,https://auth.sample.invalid/images/logo.png?utm=lab,IOC-URL-669,10.3.253.103,203.0.113.37
evt-urls-000071,2026-06-03T08:46:13+00:00,ENG-LAB-034,user031,reg.exe,network_connection,URL,https://api.example.net/login?q=1023,IOC-URL-161,10.1.252.24,198.51.100.111
evt-urls-000072,2026-06-03T09:05:18+00:00,ENG-LAB-027,user011,msedge.exe,network_connection,URL,https://files.example.net/collect?id=4aec585c,IOC-URL-456,10.0.25.167,203.0.113.176
evt-urls-000073,2026-06-03T10:36:59+00:00,ENG-LAB-022,user037,rundll32.exe,network_connection,URL,https://www.sample.invalid/images/logo.png,IOC-URL-636,10.1.83.250,198.51.100.202
evt-urls-000074,2026-06-03T11:10:43+00:00,ENG-LAB-015,user061,chrome.exe,network_connection,URL,http://api.example.com/images/logo.png?q=5295,IOC-URL-674,10.3.30.43,198.51.100.215
evt-urls-000075,2026-06-03T11:44:36+00:00,ENG-LAB-044,user063,python.exe,network_connection,URL,http://assets.example.org/images/logo.png?utm=test,IOC-URL-685,10.2.75.111,203.0.113.244
evt-urls-000076,2026-06-03T12:55:38+00:00,ENG-LAB-012,user076,powershell.exe,network_connection,URL,https://m.example.net/cdn/js/app.js?utm=lab,IOC-URL-478,10.3.1.245,203.0.113.134
evt-urls-000077,2026-06-03T14:28:36+00:00,ENG-LAB-014,user060,outlook.exe,network_connection,URL,https://m.example.com/news?id=ef49ec4f,IOC-URL-271,10.1.220.202,198.51.100.57
evt-urls-000078,2026-06-03T14:54:25+00:00,ENG-LAB-002,user042,powershell.exe,network_connection,URL,http://www.sample.invalid/api/v1/checkin?q=8033,IOC-URL-571,10.2.126.216,198.51.100.217
evt-urls-000079,2026-06-03T15:15:00+00:00,ENG-LAB-020,user006,teams.exe,network_connection,URL,https://m.telemetry.test/download/package.bin?q=1598,IOC-URL-441,10.1.18.214,198.51.100.202
evt-urls-000080,2026-06-03T15:52:11+00:00,ENG-LAB-024,user089,powershell.exe,network_connection,URL,http://api.example.org/cdn/js/app.js?id=f38e448e,IOC-URL-497,10.2.53.241,198.51.100.52
evt-urls-000081,2026-06-03T17:56:59+00:00,ENG-LAB-055,user051,winword.exe,network_connection,URL,https://www.example.org/images/logo.png,IOC-URL-944,10.1.0.154,198.51.100.113
evt-urls-000082,2026-06-03T18:42:54+00:00,ENG-LAB-053,user059,msedge.exe,network_connection,URL,https://m.example.net/api/v1/checkin?utm=demo,IOC-URL-757,10.0.125.252,198.51.100.52
evt-urls-000083,2026-06-03T21:25:31+00:00,ENG-LAB-046,user059,powershell.exe,network_connection,URL,http://api.sample.invalid/collect?q=9020,IOC-URL-983,10.2.142.222,203.0.113.61
evt-urls-000084,2026-06-03T21:28:02+00:00,ENG-LAB-045,user073,chrome.exe,network_connection,URL,https://files.example.net/download/package.bin?utm=test,IOC-URL-239,10.0.161.103,198.51.100.183
evt-urls-000085,2026-06-03T22:20:05+00:00,ENG-LAB-058,user043,msedge.exe,network_connection,URL,https://api.telemetry.test/cdn/js/app.js,IOC-URL-572,10.3.49.92,203.0.113.87
evt-urls-000086,2026-06-03T22:24:06+00:00,ENG-LAB-025,user065,teams.exe,network_connection,URL,https://www.updates.example/login?id=1ba7064e,IOC-URL-271,10.2.185.148,198.51.100.168
evt-urls-000087,2026-06-03T23:58:00+00:00,ENG-LAB-023,user031,teams.exe,network_connection,URL,http://m.example.org/download/package.bin?id=e948da35,IOC-URL-116,10.3.1.245,203.0.113.136
evt-urls-000088,2026-06-04T01:04:21+00:00,ENG-LAB-058,user063,svchost.exe,network_connection,URL,https://auth.example.net/images/logo.png?utm=demo,IOC-URL-268,10.2.35.226,203.0.113.10
evt-urls-000089,2026-06-04T02:50:45+00:00,ENG-LAB-022,user061,python.exe,network_connection,URL,http://m.example.net/portal/auth?q=4261,IOC-URL-252,10.1.220.202,198.51.100.204
evt-urls-000090,2026-06-04T04:20:07+00:00,ENG-LAB-001,user008,winword.exe,network_connection,URL,http://m.example.org/login?id=ef1f1297,IOC-URL-302,10.1.135.34,203.0.113.191
evt-urls-000091,2026-06-04T04:37:11+00:00,ENG-LAB-021,user058,teams.exe,network_connection,URL,https://api.sample.invalid/collect?id=95958ad1,IOC-URL-986,10.3.80.15,198.51.100.234
evt-urls-000092,2026-06-04T04:56:06+00:00,ENG-LAB-004,user038,reg.exe,network_connection,URL,http://api.telemetry.test/api/v1/checkin?q=4960,IOC-URL-528,10.0.117.18,198.51.100.239
evt-urls-000093,2026-06-04T06:33:39+00:00,ENG-LAB-039,user088,reg.exe,network_connection,URL,http://files.example.net/collect?q=8955,IOC-URL-505,10.3.1.253,198.51.100.100
evt-urls-000094,2026-06-04T08:55:30+00:00,ENG-LAB-028,user003,msedge.exe,network_connection,URL,https://assets.example.org/collect?id=fc5842e1,IOC-URL-256,10.3.214.138,198.51.100.106
evt-urls-000095,2026-06-04T11:39:03+00:00,ENG-LAB-044,user094,reg.exe,network_connection,URL,http://www.example.net/login?id=879cb6ed,IOC-URL-870,10.3.194.174,198.51.100.41
evt-urls-000096,2026-06-04T12:08:12+00:00,ENG-LAB-022,user062,python.exe,network_connection,URL,http://m.example.com/news,IOC-URL-894,10.3.30.43,203.0.113.74
evt-urls-000097,2026-06-04T13:15:08+00:00,ENG-LAB-017,user047,teams.exe,network_connection,URL,https://cdn.example.net/login?id=b4e47178,IOC-URL-338,10.1.142.172,198.51.100.162
evt-urls-000098,2026-06-04T13:57:23+00:00,ENG-LAB-020,user093,svchost.exe,network_connection,URL,https://assets.updates.example/login?id=df68bdd5,IOC-URL-710,10.3.186.42,198.51.100.199
evt-urls-000099,2026-06-04T14:16:28+00:00,ENG-LAB-030,user001,reg.exe,network_connection,URL,http://m.example.net/login?q=2631,IOC-URL-805,10.1.126.191,198.51.100.198
evt-urls-000100,2026-06-04T15:52:46+00:00,ENG-LAB-005,user071,msedge.exe,network_connection,URL,https://auth.example.com/portal/auth,IOC-URL-708,10.3.109.131,198.51.100.204
evt-urls-000101,2026-06-04T16:27:20+00:00,ENG-LAB-060,user091,winword.exe,network_connection,URL,https://m.example.org/collect,IOC-URL-631,10.0.50.16,198.51.100.180
evt-urls-000102,2026-06-04T18:06:20+00:00,ENG-LAB-048,user063,powershell.exe,network_connection,URL,http://assets.example.net/collect?utm=test,IOC-URL-973,10.0.54.200,198.51.100.72
evt-urls-000103,2026-06-04T19:25:49+00:00,ENG-LAB-035,user069,chrome.exe,network_connection,URL,http://files.example.com/cdn/js/app.js?utm=demo,IOC-URL-315,10.1.62.117,198.51.100.69
evt-urls-000104,2026-06-04T21:48:57+00:00,ENG-LAB-049,user069,chrome.exe,network_connection,URL,https://api.telemetry.test/api/v1/checkin?id=cf1befd5,IOC-URL-319,10.3.127.69,198.51.100.182
evt-urls-000105,2026-06-04T22:24:10+00:00,ENG-LAB-014,user025,powershell.exe,network_connection,URL,http://m.updates.example/login?id=2808c5ab,IOC-URL-533,10.0.194.72,198.51.100.252
evt-urls-000106,2026-06-04T22:25:31+00:00,ENG-LAB-053,user089,teams.exe,network_connection,URL,http://www.telemetry.test/collect,IOC-URL-709,10.3.37.117,203.0.113.154
evt-urls-000107,2026-06-04T23:30:35+00:00,ENG-LAB-030,user091,teams.exe,network_connection,URL,http://www.telemetry.test/collect?q=1108,IOC-URL-304,10.1.78.96,198.51.100.173
evt-urls-000108,2026-06-05T01:06:32+00:00,ENG-LAB-035,user089,svchost.exe,network_connection,URL,https://cdn.example.org/cdn/js/app.js?id=bb066002,IOC-URL-879,10.2.29.13,198.51.100.34
evt-urls-000109,2026-06-05T01:10:28+00:00,ENG-LAB-005,user063,winword.exe,network_connection,URL,https://auth.example.com/collect,IOC-URL-502,10.2.91.130,198.51.100.77
evt-urls-000110,2026-06-05T03:19:39+00:00,ENG-LAB-043,user066,outlook.exe,network_connection,URL,http://m.sample.invalid/download/package.bin?id=129523db,IOC-URL-841,10.1.243.116,203.0.113.176
evt-urls-000111,2026-06-05T03:32:51+00:00,ENG-LAB-009,user009,rundll32.exe,network_connection,URL,https://www.example.net/portal/auth?q=3868,IOC-URL-400,10.2.122.15,203.0.113.23
evt-urls-000112,2026-06-05T03:37:08+00:00,ENG-LAB-019,user015,rundll32.exe,network_connection,URL,https://api.telemetry.test/cdn/js/app.js?utm=test,IOC-URL-563,10.0.49.169,198.51.100.105
evt-urls-000113,2026-06-05T04:54:08+00:00,ENG-LAB-031,user042,winword.exe,network_connection,URL,https://cdn.telemetry.test/collect?utm=test,IOC-URL-367,10.3.67.172,203.0.113.121
evt-urls-000114,2026-06-05T05:36:31+00:00,ENG-LAB-034,user050,python.exe,network_connection,URL,https://api.example.net/collect?id=8af433e1,IOC-URL-368,10.3.93.13,203.0.113.134
evt-urls-000115,2026-06-05T08:11:01+00:00,ENG-LAB-029,user041,reg.exe,network_connection,URL,http://cdn.telemetry.test/collect,IOC-URL-522,10.2.126.216,203.0.113.105
evt-urls-000116,2026-06-05T08:12:07+00:00,ENG-LAB-053,user003,winword.exe,network_connection,URL,http://auth.telemetry.test/portal/auth?utm=demo,IOC-URL-314,10.2.107.175,198.51.100.79
evt-urls-000117,2026-06-05T08:22:18+00:00,ENG-LAB-023,user100,chrome.exe,network_connection,URL,https://www.example.net/cdn/js/app.js?q=7524,IOC-URL-379,10.3.202.227,198.51.100.156
evt-urls-000118,2026-06-05T09:09:52+00:00,ENG-LAB-050,user047,rundll32.exe,network_connection,URL,http://assets.updates.example/download/package.bin?id=c104a0ce,IOC-URL-250,10.1.196.178,203.0.113.218
evt-urls-000119,2026-06-05T09:23:28+00:00,ENG-LAB-001,user029,chrome.exe,network_connection,URL,http://m.telemetry.test/portal/auth,IOC-URL-796,10.0.70.39,203.0.113.184
evt-urls-000120,2026-06-05T11:44:11+00:00,ENG-LAB-039,user020,msedge.exe,network_connection,URL,https://api.telemetry.test/news?id=b7207038,IOC-URL-891,10.2.47.210,203.0.113.253
evt-urls-000121,2026-06-05T13:07:37+00:00,ENG-LAB-035,user024,python.exe,network_connection,URL,http://api.example.org/portal/auth?q=5592,IOC-URL-844,10.0.57.20,198.51.100.229
evt-urls-000122,2026-06-05T13:36:50+00:00,ENG-LAB-045,user080,outlook.exe,network_connection,URL,https://assets.updates.example/login,IOC-URL-576,10.1.75.168,198.51.100.230
evt-urls-000123,2026-06-05T13:37:53+00:00,ENG-LAB-004,user032,chrome.exe,network_connection,URL,https://www.example.net/collect,IOC-URL-151,10.0.95.18,198.51.100.107
evt-urls-000124,2026-06-05T16:15:12+00:00,ENG-LAB-027,user090,python.exe,network_connection,URL,http://assets.example.com/collect?q=3703,IOC-URL-371,10.3.112.46,203.0.113.145
evt-urls-000125,2026-06-05T16:23:15+00:00,ENG-LAB-054,user091,teams.exe,network_connection,URL,https://m.sample.invalid/login?id=25ab45af,IOC-URL-186,10.0.142.90,198.51.100.57
evt-urls-000126,2026-06-05T16:55:14+00:00,ENG-LAB-013,user032,teams.exe,network_connection,URL,http://cdn.updates.example/news?id=ebee64e3,IOC-URL-259,10.2.194.84,203.0.113.55
evt-urls-000127,2026-06-05T17:25:44+00:00,ENG-LAB-060,user062,svchost.exe,network_connection,URL,https://m.example.net/news?utm=test,IOC-URL-102,10.0.216.9,198.51.100.90
evt-urls-000128,2026-06-05T17:39:17+00:00,ENG-LAB-004,user025,msedge.exe,network_connection,URL,https://www.telemetry.test/api/v1/checkin?id=315e7a6b,IOC-URL-801,10.1.21.79,198.51.100.1
evt-urls-000129,2026-06-05T18:36:08+00:00,ENG-LAB-006,user055,msedge.exe,network_connection,URL,http://www.updates.example/api/v1/checkin?id=1548af06,IOC-URL-119,10.3.93.13,203.0.113.248
evt-urls-000130,2026-06-05T19:41:31+00:00,ENG-LAB-018,user042,outlook.exe,network_connection,URL,https://assets.sample.invalid/portal/auth?q=9756,IOC-URL-660,10.0.169.160,203.0.113.67
evt-urls-000131,2026-06-05T20:27:48+00:00,ENG-LAB-003,user076,powershell.exe,network_connection,URL,http://m.updates.example/collect?id=6f721b71,IOC-URL-164,10.2.108.168,203.0.113.141
evt-urls-000132,2026-06-05T20:55:17+00:00,ENG-LAB-029,user053,outlook.exe,network_connection,URL,http://auth.telemetry.test/collect?q=4865,IOC-URL-157,10.3.79.237,198.51.100.20
evt-urls-000133,2026-06-05T21:15:58+00:00,ENG-LAB-012,user036,outlook.exe,network_connection,URL,http://m.updates.example/collect?q=1483,IOC-URL-252,10.0.81.179,198.51.100.61
evt-urls-000134,2026-06-05T21:40:52+00:00,ENG-LAB-017,user061,msedge.exe,network_connection,URL,http://m.sample.invalid/cdn/js/app.js?q=1781,IOC-URL-862,10.3.135.238,203.0.113.134
evt-urls-000135,2026-06-05T22:24:38+00:00,ENG-LAB-041,user016,msedge.exe,network_connection,URL,http://auth.example.org/login,IOC-URL-976,10.0.155.74,203.0.113.67
evt-urls-000136,2026-06-05T22:38:05+00:00,ENG-LAB-058,user013,powershell.exe,network_connection,URL,https://files.example.net/news?q=3480,IOC-URL-703,10.1.215.100,203.0.113.197
evt-urls-000137,2026-06-06T00:07:11+00:00,ENG-LAB-034,user009,python.exe,network_connection,URL,https://m.updates.example/cdn/js/app.js,IOC-URL-525,10.2.91.149,198.51.100.21
evt-urls-000138,2026-06-06T00:20:28+00:00,ENG-LAB-023,user012,svchost.exe,network_connection,URL,https://assets.sample.invalid/login?utm=lab,IOC-URL-722,10.3.37.117,203.0.113.100
evt-urls-000139,2026-06-06T01:37:53+00:00,ENG-LAB-001,user097,chrome.exe,network_connection,URL,https://assets.example.net/api/v1/checkin?q=9802,IOC-URL-574,10.1.237.171,198.51.100.115
evt-urls-000140,2026-06-06T02:37:01+00:00,ENG-LAB-051,user001,powershell.exe,network_connection,URL,http://auth.telemetry.test/images/logo.png?utm=lab,IOC-URL-407,10.0.125.252,198.51.100.174
