@timestamp,event.category,event.action,source.ip,source.port,destination.ip,destination.port,user.name,container.image.name,message,,,,,,
"Mar 4, 2025 @ 16:22:04.714",authentication,user_login,10.10.20.13,23211,172.16.5.141,3389,kibana_system,local/auth-service:latest,user login | source.ip=10.10.20.13 | destination.ip=172.16.5.141 | destination.port=3389 | event.outcome=success | user.name=kibana_system,,,,,,
"Mar 4, 2025 @ 16:29:12.595",network,connection_attempt,10.10.20.99,45400,10.10.20.166,80,,local/postgres:latest,connection attempt | source.ip=10.10.20.99 | destination.ip=10.10.20.166 | destination.port=80 | event.outcome=failure,,,,,,
"Mar 4, 2025 @ 16:29:16.887",authentication,ssh_login,192.168.1.64,27701,192.168.1.208,443,elastic,local/auth-service:latest,ssh login | source.ip=192.168.1.64 | destination.ip=192.168.1.208 | destination.port=443 | event.outcome=success | user.name=elastic,,,,,,
"Mar 4, 2025 @ 16:35:03.445",authentication,ssh_login,203.0.113.83,7021,172.16.5.29,22,j.smith,local/logstash:latest,ssh login | source.ip=203.0.113.83 | destination.ip=172.16.5.29 | destination.port=22 | event.outcome=success | user.name=j.smith,,,,,,
"Mar 4, 2025 @ 16:36:15.823",authentication,ssh_login,172.16.5.172,5279,172.16.5.183,5432,j.smith,docker.elastic.co/kibana/kibana:8.12.0,ssh login | source.ip=172.16.5.172 | destination.ip=172.16.5.183 | destination.port=5432 | event.outcome=success | user.name=j.smith,,,,,,
"Mar 4, 2025 @ 16:44:27.604",network,connection_denied,172.16.5.116,14765,10.10.12.69,443,,local/logstash:latest,connection denied | source.ip=172.16.5.116 | destination.ip=10.10.12.69 | destination.port=443 | event.outcome=failure,,,,,,
"Mar 4, 2025 @ 16:47:06.743",database,large_export,192.0.2.213,57268,10.10.12.169,3389,admin,local/nginx:latest,large export | source.ip=192.0.2.213 | destination.ip=10.10.12.169 | destination.port=3389 | event.outcome=unknown | user.name=admin,,,,,,
"Mar 4, 2025 @ 16:53:24.842",authentication,sudo_attempt,10.10.12.195,17229,10.10.12.245,443,admin,docker.elastic.co/kibana/kibana:8.12.0,sudo attempt | source.ip=10.10.12.195 | destination.ip=10.10.12.245 | destination.port=443 | event.outcome=success | user.name=admin,,,,,,
"Mar 4, 2025 @ 17:01:30.897",database,db_query,10.10.12.101,42683,192.168.1.13,9300,m.rahman,local/auth-service:latest,db query | source.ip=10.10.12.101 | destination.ip=192.168.1.13 | destination.port=9300 | event.outcome=unknown | user.name=m.rahman,,,,,,
"Mar 4, 2025 @ 17:11:17.159",network,connection_attempt,203.0.113.69,7565,192.168.1.14,80,,local/logstash:latest,connection attempt | source.ip=203.0.113.69 | destination.ip=192.168.1.14 | destination.port=80 | event.outcome=unknown,,,,,,
"Mar 4, 2025 @ 17:17:05.750",authentication,failed_login,10.10.12.251,37202,192.168.1.22,5601,m.rahman,local/auth-service:latest,failed login | source.ip=10.10.12.251 | destination.ip=192.168.1.22 | destination.port=5601 | event.outcome=failure | user.name=m.rahman,,,,,,
"Mar 4, 2025 @ 17:17:58.109",database,db_error,192.168.1.213,18622,10.10.20.128,9200,j.smith,local/postgres:latest,db error | source.ip=192.168.1.213 | destination.ip=10.10.20.128 | destination.port=9200 | event.outcome=failure | user.name=j.smith,,,,,,
"Mar 4, 2025 @ 17:22:30.499",database,large_export,10.10.20.181,10608,10.10.20.65,9200,svc-backup,local/nginx:latest,large export | source.ip=10.10.20.181 | destination.ip=10.10.20.65 | destination.port=9200 | event.outcome=failure | user.name=svc-backup,,,,,,
"Mar 4, 2025 @ 17:25:26.123",web,http_404,172.16.5.173,24197,10.10.12.107,3389,,local/logstash:latest,http 404 | source.ip=172.16.5.173 | destination.ip=10.10.12.107 | destination.port=3389 | event.outcome=failure | url.path=/wp-login.php,,,,,,
"Mar 4, 2025 @ 17:29:53.625",authentication,sudo_attempt,192.168.1.199,2633,10.10.20.90,5044,elastic,local/nginx:latest,sudo attempt | source.ip=192.168.1.199 | destination.ip=10.10.20.90 | destination.port=5044 | event.outcome=failure | user.name=elastic,,,,,,
"Mar 4, 2025 @ 17:34:53.969",authentication,sudo_attempt,192.168.1.114,15262,10.10.20.140,22,kibana_system,docker.elastic.co/kibana/kibana:8.12.0,sudo attempt | source.ip=192.168.1.114 | destination.ip=10.10.20.140 | destination.port=22 | event.outcome=success | user.name=kibana_system,,,,,,
"Mar 4, 2025 @ 17:35:11.705",network,connection_accepted,192.168.1.168,47369,172.16.5.46,5432,,local/auth-service:latest,connection accepted | source.ip=192.168.1.168 | destination.ip=172.16.5.46 | destination.port=5432 | event.outcome=success,,,,,,
"Mar 4, 2025 @ 17:45:17.529",network,connection_denied,10.10.20.117,18391,172.16.5.120,53,,local/auth-service:latest,connection denied | source.ip=10.10.20.117 | destination.ip=172.16.5.120 | destination.port=53 | event.outcome=failure,,,,,,
"Mar 4, 2025 @ 18:03:34.904",network,connection_denied,10.10.20.28,13952,10.10.20.67,80,,docker.elastic.co/kibana/kibana:8.12.0,connection denied | source.ip=10.10.20.28 | destination.ip=10.10.20.67 | destination.port=80 | event.outcome=failure,,,,,,
"Mar 4, 2025 @ 18:04:22.938",database,large_export,192.0.2.248,54717,10.10.12.201,80,j.smith,local/postgres:latest,large export | source.ip=192.0.2.248 | destination.ip=10.10.12.201 | destination.port=80 | event.outcome=failure | user.name=j.smith,,,,,,
"Mar 4, 2025 @ 18:05:53.384",web,http_request,10.10.20.134,11518,10.10.20.143,9200,,docker.elastic.co/kibana/kibana:8.12.0,http request | source.ip=10.10.20.134 | destination.ip=10.10.20.143 | destination.port=9200 | event.outcome=success | url.path=/../../etc/passwd,,,,,,
"Mar 4, 2025 @ 18:06:36.140",network,dns_query,172.16.5.226,1860,192.168.1.208,5432,,local/nginx:latest,dns query | source.ip=172.16.5.226 | destination.ip=192.168.1.208 | destination.port=5432 | event.outcome=unknown,,,,,,
"Mar 4, 2025 @ 18:07:40.458",web,http_request,10.10.20.86,29710,172.16.5.230,3306,,local/logstash:latest,http request | source.ip=10.10.20.86 | destination.ip=172.16.5.230 | destination.port=3306 | event.outcome=success | url.path=/admin,,,,,,
"Mar 4, 2025 @ 18:10:46.125",database,large_export,10.10.20.103,22101,10.10.20.143,5601,guest,local/postgres:latest,large export | source.ip=10.10.20.103 | destination.ip=10.10.20.143 | destination.port=5601 | event.outcome=unknown | user.name=guest,,,,,,
"Mar 4, 2025 @ 18:13:48.870",web,http_request,192.0.2.2,40621,10.10.12.204,3306,,local/auth-service:latest,http request | source.ip=192.0.2.2 | destination.ip=10.10.12.204 | destination.port=3306 | event.outcome=failure | url.path=/search?q=test,,,,,,
"Mar 4, 2025 @ 18:30:09.642",process,shell_command,192.168.1.131,53000,192.168.1.27,53,svc-backup,local/nginx:latest,shell command | source.ip=192.168.1.131 | destination.ip=192.168.1.27 | destination.port=53 | event.outcome=unknown | user.name=svc-backup,,,,,,
"Mar 4, 2025 @ 18:30:14.429",authentication,failed_login,203.0.113.244,30118,172.16.5.97,53,kibana_system,local/nginx:latest,failed login | source.ip=203.0.113.244 | destination.ip=172.16.5.97 | destination.port=53 | event.outcome=failure | user.name=kibana_system,,,,,,
"Mar 4, 2025 @ 18:34:56.467",network,port_scan_detected,203.0.113.252,27098,10.10.20.72,9200,,docker.elastic.co/kibana/kibana:8.12.0,port scan detected | source.ip=203.0.113.252 | destination.ip=10.10.20.72 | destination.port=9200 | event.outcome=unknown,,,,,,
"Mar 4, 2025 @ 18:35:49.455",database,db_error,192.0.2.112,2956,192.168.1.129,9300,guest,local/logstash:latest,db error | source.ip=192.0.2.112 | destination.ip=192.168.1.129 | destination.port=9300 | event.outcome=failure | user.name=guest,,,,,,
"Mar 4, 2025 @ 18:39:54.855",database,db_query,203.0.113.169,47198,172.16.5.5,3389,svc-backup,local/postgres:latest,db query | source.ip=203.0.113.169 | destination.ip=172.16.5.5 | destination.port=3389 | event.outcome=failure | user.name=svc-backup,,,,,,
"Mar 4, 2025 @ 18:40:01.603",authentication,failed_login,172.16.5.83,16333,192.168.1.71,53,svc-backup,local/postgres:latest,failed login | source.ip=172.16.5.83 | destination.ip=192.168.1.71 | destination.port=53 | event.outcome=failure | user.name=svc-backup,,,,,,
"Mar 4, 2025 @ 18:42:40.264",process,process_ended,203.0.113.66,44573,10.10.12.97,3389,kibana_system,local/nginx:latest,process ended | source.ip=203.0.113.66 | destination.ip=10.10.12.97 | destination.port=3389 | event.outcome=failure | user.name=kibana_system,,,,,,
"Mar 4, 2025 @ 18:43:56.450",authentication,ssh_login,10.10.12.24,7123,172.16.5.143,3306,m.rahman,docker.elastic.co/elasticsearch/elasticsearch:8.12.0,ssh login | source.ip=10.10.12.24 | destination.ip=172.16.5.143 | destination.port=3306 | event.outcome=success | user.name=m.rahman,,,,,,
"Mar 4, 2025 @ 18:50:49.160",web,directory_traversal_pattern,198.51.100.10,61188,192.168.1.14,9200,,local/logstash:latest,directory traversal pattern | source.ip=198.51.100.10 | destination.ip=192.168.1.14 | destination.port=9200 | event.outcome=success | url.path=/search?q=test,,,,,,
"Mar 4, 2025 @ 19:00:42.793",authentication,ssh_login,10.10.12.14,7136,10.10.12.250,443,kibana_system,local/nginx:latest,ssh login | source.ip=10.10.12.14 | destination.ip=10.10.12.250 | destination.port=443 | event.outcome=success | user.name=kibana_system,,,,,,
"Mar 4, 2025 @ 19:03:58.717",network,dns_query,192.168.1.26,46687,192.168.1.186,5044,,local/logstash:latest,dns query | source.ip=192.168.1.26 | destination.ip=192.168.1.186 | destination.port=5044 | event.outcome=unknown,,,,,,
"Mar 4, 2025 @ 19:09:50.186",network,connection_attempt,10.10.20.101,14349,10.10.20.67,9200,,local/logstash:latest,connection attempt | source.ip=10.10.20.101 | destination.ip=10.10.20.67 | destination.port=9200 | event.outcome=failure,,,,,,
"Mar 4, 2025 @ 19:16:52.032",process,process_started,192.0.2.134,37554,192.168.1.14,443,elastic,docker.elastic.co/kibana/kibana:8.12.0,process started | source.ip=192.0.2.134 | destination.ip=192.168.1.14 | destination.port=443 | event.outcome=success | user.name=elastic,,,,,,
"Mar 4, 2025 @ 19:29:07.826",web,directory_traversal_pattern,198.51.100.197,50486,10.10.20.176,3306,,local/postgres:latest,directory traversal pattern | source.ip=198.51.100.197 | destination.ip=10.10.20.176 | destination.port=3306 | event.outcome=unknown | url.path=/admin,,,,,,
"Mar 4, 2025 @ 19:39:05.809",web,http_500,172.16.5.240,58572,10.10.12.242,80,,docker.elastic.co/elasticsearch/elasticsearch:8.12.0,http 500 | source.ip=172.16.5.240 | destination.ip=10.10.12.242 | destination.port=80 | event.outcome=failure | url.path=/api/users,,,,,,
"Mar 4, 2025 @ 19:49:28.109",network,connection_denied,172.16.5.147,41063,10.10.20.46,3389,,local/postgres:latest,connection denied | source.ip=172.16.5.147 | destination.ip=10.10.20.46 | destination.port=3389 | event.outcome=failure,,,,,,
"Mar 4, 2025 @ 19:54:41.331",database,large_export,10.10.20.56,34095,10.10.12.152,80,elastic,local/auth-service:latest,large export | source.ip=10.10.20.56 | destination.ip=10.10.12.152 | destination.port=80 | event.outcome=success | user.name=elastic,,,,,,
"Mar 4, 2025 @ 20:02:00.111",web,http_404,10.10.12.136,56513,10.10.12.216,53,,local/nginx:latest,http 404 | source.ip=10.10.12.136 | destination.ip=10.10.12.216 | destination.port=53 | event.outcome=failure | url.path=/api/status,,,,,,
"Mar 4, 2025 @ 20:15:07.632",authentication,ssh_login,203.0.113.201,39930,172.16.5.133,53,root,local/postgres:latest,ssh login | source.ip=203.0.113.201 | destination.ip=172.16.5.133 | destination.port=53 | event.outcome=success | user.name=root,,,,,,
"Mar 4, 2025 @ 20:32:41.191",authentication,ssh_login,198.51.100.228,62193,10.10.12.82,5601,guest,local/logstash:latest,ssh login | source.ip=198.51.100.228 | destination.ip=10.10.12.82 | destination.port=5601 | event.outcome=success | user.name=guest,,,,,,
"Mar 4, 2025 @ 20:45:42.217",database,large_export,10.10.12.16,15363,10.10.20.156,22,root,local/logstash:latest,large export | source.ip=10.10.12.16 | destination.ip=10.10.20.156 | destination.port=22 | event.outcome=success | user.name=root,,,,,,
"Mar 4, 2025 @ 20:49:08.352",authentication,ssh_login,10.10.12.14,9276,172.16.5.64,3306,svc-backup,local/postgres:latest,ssh login | source.ip=10.10.12.14 | destination.ip=172.16.5.64 | destination.port=3306 | event.outcome=success | user.name=svc-backup,,,,,,
"Mar 4, 2025 @ 20:50:35.413",authentication,sudo_attempt,10.10.20.124,60467,10.10.20.224,9200,j.smith,docker.elastic.co/kibana/kibana:8.12.0,sudo attempt | source.ip=10.10.20.124 | destination.ip=10.10.20.224 | destination.port=9200 | event.outcome=success | user.name=j.smith,,,,,,
"Mar 4, 2025 @ 20:51:57.653",network,connection_attempt,203.0.113.113,29842,192.168.1.192,9300,,local/nginx:latest,connection attempt | source.ip=203.0.113.113 | destination.ip=192.168.1.192 | destination.port=9300 | event.outcome=failure,,,,,,
"Mar 4, 2025 @ 21:00:45.195",network,port_scan_detected,203.0.113.183,11985,192.168.1.127,53,,local/logstash:latest,port scan detected | source.ip=203.0.113.183 | destination.ip=192.168.1.127 | destination.port=53 | event.outcome=failure,,,,,,
"Mar 4, 2025 @ 21:19:53.781",network,port_scan_detected,198.51.100.145,32374,172.16.5.171,5432,,docker.elastic.co/kibana/kibana:8.12.0,port scan detected | source.ip=198.51.100.145 | destination.ip=172.16.5.171 | destination.port=5432 | event.outcome=unknown,,,,,,
"Mar 4, 2025 @ 21:21:03.669",database,db_login,198.51.100.129,9490,192.168.1.46,9300,svc-backup,docker.elastic.co/elasticsearch/elasticsearch:8.12.0,db login | source.ip=198.51.100.129 | destination.ip=192.168.1.46 | destination.port=9300 | event.outcome=success | user.name=svc-backup,,,,,,
"Mar 4, 2025 @ 21:34:37.095",network,connection_denied,10.10.12.25,19156,192.168.1.214,22,,docker.elastic.co/kibana/kibana:8.12.0,connection denied | source.ip=10.10.12.25 | destination.ip=192.168.1.214 | destination.port=22 | event.outcome=failure,,,,,,
"Mar 4, 2025 @ 21:42:23.710",database,large_export,203.0.113.218,51544,10.10.12.131,5432,admin,local/postgres:latest,large export | source.ip=203.0.113.218 | destination.ip=10.10.12.131 | destination.port=5432 | event.outcome=success | user.name=admin,,,,,,
"Mar 4, 2025 @ 21:46:15.193",web,http_500,198.51.100.254,17450,10.10.20.140,80,,docker.elastic.co/kibana/kibana:8.12.0,http 500 | source.ip=198.51.100.254 | destination.ip=10.10.20.140 | destination.port=80 | event.outcome=failure | url.path=/,,,,,,
"Mar 4, 2025 @ 21:51:42.334",web,directory_traversal_pattern,203.0.113.63,3637,10.10.20.247,3389,,docker.elastic.co/elasticsearch/elasticsearch:8.12.0,directory traversal pattern | source.ip=203.0.113.63 | destination.ip=10.10.20.247 | destination.port=3389 | event.outcome=success | url.path=/../../etc/passwd,,,,,,
"Mar 4, 2025 @ 21:51:53.796",authentication,user_logout,172.16.5.222,57731,10.10.12.114,53,svc-backup,local/auth-service:latest,user logout | source.ip=172.16.5.222 | destination.ip=10.10.12.114 | destination.port=53 | event.outcome=success | user.name=svc-backup,,,,,,
"Mar 4, 2025 @ 21:52:17.878",network,connection_attempt,192.168.1.170,1457,192.168.1.6,5432,,docker.elastic.co/elasticsearch/elasticsearch:8.12.0,connection attempt | source.ip=192.168.1.170 | destination.ip=192.168.1.6 | destination.port=5432 | event.outcome=unknown,,,,,,
"Mar 4, 2025 @ 21:53:35.502",network,connection_attempt,198.51.100.204,5187,192.168.1.154,9300,,local/postgres:latest,connection attempt | source.ip=198.51.100.204 | destination.ip=192.168.1.154 | destination.port=9300 | event.outcome=success,,,,,,
"Mar 4, 2025 @ 22:01:28.225",network,port_scan_detected,192.0.2.117,50786,10.10.12.26,3389,,local/logstash:latest,port scan detected | source.ip=192.0.2.117 | destination.ip=10.10.12.26 | destination.port=3389 | event.outcome=unknown,,,,,,
"Mar 4, 2025 @ 22:05:39.911",authentication,ssh_login,10.10.12.148,51821,10.10.12.70,5432,m.rahman,local/auth-service:latest,ssh login | source.ip=10.10.12.148 | destination.ip=10.10.12.70 | destination.port=5432 | event.outcome=success | user.name=m.rahman,,,,,,
"Mar 4, 2025 @ 22:12:21.152",authentication,user_login,192.168.1.164,25284,172.16.5.43,9200,svc-backup,local/auth-service:latest,user login | source.ip=192.168.1.164 | destination.ip=172.16.5.43 | destination.port=9200 | event.outcome=success | user.name=svc-backup,,,,,,
"Mar 4, 2025 @ 22:23:28.915",network,connection_attempt,192.168.1.219,14471,172.16.5.28,5432,,local/nginx:latest,connection attempt | source.ip=192.168.1.219 | destination.ip=172.16.5.28 | destination.port=5432 | event.outcome=success,,,,,,
"Mar 4, 2025 @ 22:25:58.800",process,process_started,192.0.2.59,1552,192.168.1.4,9200,elastic,local/auth-service:latest,process started | source.ip=192.0.2.59 | destination.ip=192.168.1.4 | destination.port=9200 | event.outcome=failure | user.name=elastic,,,,,,
"Mar 4, 2025 @ 22:27:34.049",network,connection_accepted,203.0.113.158,28184,10.10.12.118,3389,,local/nginx:latest,connection accepted | source.ip=203.0.113.158 | destination.ip=10.10.12.118 | destination.port=3389 | event.outcome=success,,,,,,
"Mar 4, 2025 @ 22:30:41.424",process,file_write,172.16.5.178,61063,10.10.12.165,5601,m.rahman,docker.elastic.co/kibana/kibana:8.12.0,file write | source.ip=172.16.5.178 | destination.ip=10.10.12.165 | destination.port=5601 | event.outcome=failure | user.name=m.rahman,,,,,,
"Mar 4, 2025 @ 22:33:28.411",web,http_500,203.0.113.81,33242,172.16.5.217,3389,,docker.elastic.co/kibana/kibana:8.12.0,http 500 | source.ip=203.0.113.81 | destination.ip=172.16.5.217 | destination.port=3389 | event.outcome=failure | url.path=/wp-login.php,,,,,,
"Mar 4, 2025 @ 22:52:20.953",process,process_started,172.16.5.241,44915,172.16.5.54,9200,svc-backup,local/nginx:latest,process started | source.ip=172.16.5.241 | destination.ip=172.16.5.54 | destination.port=9200 | event.outcome=unknown | user.name=svc-backup,,,,,,
"Mar 4, 2025 @ 22:55:46.644",process,process_ended,172.16.5.201,56537,10.10.12.219,3389,j.smith,local/postgres:latest,process ended | source.ip=172.16.5.201 | destination.ip=10.10.12.219 | destination.port=3389 | event.outcome=unknown | user.name=j.smith,,,,,,
"Mar 4, 2025 @ 22:56:36.634",authentication,user_login,10.10.20.53,21024,192.168.1.91,443,svc-backup,local/auth-service:latest,user login | source.ip=10.10.20.53 | destination.ip=192.168.1.91 | destination.port=443 | event.outcome=success | user.name=svc-backup,,,,,,
"Mar 4, 2025 @ 22:59:36.043",authentication,sudo_attempt,10.10.20.223,53445,10.10.20.251,80,guest,docker.elastic.co/kibana/kibana:8.12.0,sudo attempt | source.ip=10.10.20.223 | destination.ip=10.10.20.251 | destination.port=80 | event.outcome=unknown | user.name=guest,,,,,,
"Mar 4, 2025 @ 23:09:18.831",authentication,user_login,10.10.20.20,23670,192.168.1.243,3306,j.smith,local/auth-service:latest,user login | source.ip=10.10.20.20 | destination.ip=192.168.1.243 | destination.port=3306 | event.outcome=success | user.name=j.smith,,,,,,
"Mar 4, 2025 @ 23:24:09.927",database,large_export,203.0.113.147,37110,10.10.20.129,3389,m.rahman,local/nginx:latest,large export | source.ip=203.0.113.147 | destination.ip=10.10.20.129 | destination.port=3389 | event.outcome=success | user.name=m.rahman,,,,,,
"Mar 4, 2025 @ 23:25:52.729",network,dns_query,172.16.5.236,21531,10.10.20.96,9300,,local/auth-service:latest,dns query | source.ip=172.16.5.236 | destination.ip=10.10.20.96 | destination.port=9300 | event.outcome=unknown,,,,,,
"Mar 4, 2025 @ 23:44:29.991",web,directory_traversal_pattern,192.0.2.70,17112,172.16.5.220,53,,docker.elastic.co/kibana/kibana:8.12.0,directory traversal pattern | source.ip=192.0.2.70 | destination.ip=172.16.5.220 | destination.port=53 | event.outcome=failure | url.path=/search?q=test,,,,,,
"Mar 4, 2025 @ 23:54:39.909",database,db_query,10.10.20.29,10782,10.10.12.136,443,svc-backup,local/logstash:latest,db query | source.ip=10.10.20.29 | destination.ip=10.10.12.136 | destination.port=443 | event.outcome=unknown | user.name=svc-backup,,,,,,
"Mar 4, 2025 @ 23:55:11.647",network,connection_accepted,172.16.5.129,37113,192.168.1.227,5044,,local/logstash:latest,connection accepted | source.ip=172.16.5.129 | destination.ip=192.168.1.227 | destination.port=5044 | event.outcome=success,,,,,,
"Mar 4, 2025 @ 23:57:19.792",authentication,user_login,192.168.1.154,8034,10.10.20.119,80,j.smith,local/nginx:latest,user login | source.ip=192.168.1.154 | destination.ip=10.10.20.119 | destination.port=80 | event.outcome=success | user.name=j.smith,,,,,,
"Mar 5, 2025 @ 00:03:17.616",database,db_query,10.10.12.69,30270,172.16.5.182,443,j.smith,docker.elastic.co/kibana/kibana:8.12.0,db query | source.ip=10.10.12.69 | destination.ip=172.16.5.182 | destination.port=443 | event.outcome=failure | user.name=j.smith,,,,,,
"Mar 5, 2025 @ 00:04:12.930",authentication,user_logout,203.0.113.183,11097,10.10.20.12,9200,admin,local/nginx:latest,user logout | source.ip=203.0.113.183 | destination.ip=10.10.20.12 | destination.port=9200 | event.outcome=failure | user.name=admin,,,,,,
"Mar 5, 2025 @ 00:05:46.456",authentication,user_logout,172.16.5.119,7287,10.10.12.150,5432,kibana_system,docker.elastic.co/elasticsearch/elasticsearch:8.12.0,user logout | source.ip=172.16.5.119 | destination.ip=10.10.12.150 | destination.port=5432 | event.outcome=unknown | user.name=kibana_system,,,,,,
"Mar 5, 2025 @ 00:26:51.258",authentication,failed_login,192.0.2.141,62533,192.168.1.229,80,root,docker.elastic.co/kibana/kibana:8.12.0,failed login | source.ip=192.0.2.141 | destination.ip=192.168.1.229 | destination.port=80 | event.outcome=failure | user.name=root,,,,,,
"Mar 5, 2025 @ 00:32:19.921",network,connection_attempt,192.168.1.29,13863,172.16.5.158,443,,docker.elastic.co/kibana/kibana:8.12.0,connection attempt | source.ip=192.168.1.29 | destination.ip=172.16.5.158 | destination.port=443 | event.outcome=success,,,,,,
"Mar 5, 2025 @ 00:32:40.075",database,large_export,192.168.1.124,13106,192.168.1.89,22,j.smith,docker.elastic.co/elasticsearch/elasticsearch:8.12.0,large export | source.ip=192.168.1.124 | destination.ip=192.168.1.89 | destination.port=22 | event.outcome=success | user.name=j.smith,,,,,,
