event_id,timestamp_utc,host,user,process_name,event_type,ioc_type,hash_type,ioc_value,file_name,file_path,action,severity,detection_rule,source_ip,destination_ip,label,notes
evt-file-hashes-000001,2025-03-01T02:45:23.352000+00:00,ENG-LAB-021,user043,wscript.exe,file_created,File Hash,SHA256,c0345690d8b7f91350d2ae04d0fc28b48d4d21f1cc3f52acd77746e656b320c2,macro_template.dotm,C:\Program Files\Common Files,blocked,low,IOC-HASH-476,10.1.91.237,203.0.113.251,benign,Synthetic training data; not a real indicator
evt-file-hashes-000022,2025-03-02T00:08:28.360000+00:00,ENG-LAB-037,user050,winword.exe,file_modified,File Hash,MD5,05537b1b91b609e2c7f1b9de19b79dc6,update.exe,C:\Users\Public\Documents,allowed,low,IOC-HASH-121,10.3.219.250,203.0.113.210,suspicious,Synthetic training data; not a real indicator
evt-file-hashes-000023,2025-03-02T00:26:55.273000+00:00,ENG-LAB-052,user068,wscript.exe,process_file_write,File Hash,SHA1,8727e5a8fd3a5507b5f8b4657a4aee306922d05f,macro_template.dotm,C:\Users\Public\Downloads,blocked,medium,IOC-HASH-183,10.1.198.131,203.0.113.167,benign,Synthetic training data; not a real indicator
evt-file-hashes-000024,2025-03-02T02:28:25.175000+00:00,ENG-LAB-033,user087,wscript.exe,file_modified,File Hash,SHA256,05745d3732419dd881f04809e13eb2979fd23f8d6ba20fac640bbc0159a20723,document.pdf,C:\Program Files\Common Files,allowed,critical,IOC-HASH-298,10.3.247.140,198.51.100.178,benign,Synthetic training data; not a real indicator
evt-file-hashes-000025,2025-03-02T02:30:19.353000+00:00,ENG-LAB-004,user019,msedge.exe,file_created,File Hash,MD5,1f74768943d08a28407da6217889bb76,service.dat,C:\Users\Public\Downloads,alerted,high,IOC-HASH-942,10.2.146.117,198.51.100.252,malicious,Synthetic training data; not a real indicator
evt-file-hashes-000026,2025-03-02T03:11:50.739000+00:00,ENG-LAB-003,user064,rundll32.exe,process_file_write,File Hash,SHA256,b4939d219fb0e2b0cfc8a6a8d3fdfa80f913d86e7f879c392bb05daf1ec90797,setup.tmp,C:\Users\Public\Documents,logged,high,IOC-HASH-168,10.0.247.38,198.51.100.245,benign,Synthetic training data; not a real indicator
evt-file-hashes-000027,2025-03-02T03:26:37.448000+00:00,ENG-LAB-015,user067,wscript.exe,file_scanned,File Hash,SHA1,eb79ae9c60443c6d73d33db37a28a0abc6a76d74,invoice.docm,C:\Users\user\Downloads,quarantined,medium,IOC-HASH-925,10.0.178.24,198.51.100.230,benign,Synthetic training data; not a real indicator
evt-file-hashes-000028,2025-03-02T04:12:28.282000+00:00,ENG-LAB-009,user010,wscript.exe,file_quarantined,File Hash,MD5,aa692d962947425fa51d8bf8132dc0f6,agent.bin,C:\Program Files\Common Files,quarantined,high,IOC-HASH-254,10.3.16.144,203.0.113.224,benign,Synthetic training data; not a real indicator
evt-file-hashes-000029,2025-03-02T04:29:06.364000+00:00,ENG-LAB-014,user025,svchost.exe,file_created,File Hash,SHA256,5965feeb4c6c32b0e866a8ccb57fecfc337297b715713f8a3245a5c185335067,setup.tmp,C:\ProgramData,blocked,medium,IOC-HASH-724,10.0.44.97,203.0.113.214,benign,Synthetic training data; not a real indicator
evt-file-hashes-000030,2025-03-02T04:58:42.195000+00:00,ENG-LAB-045,user090,cmd.exe,file_scanned,File Hash,SHA1,eee51c2f31249e54a7b882144fd4fb759eb2f0ca,update.exe,C:\Program Files\Common Files,blocked,low,IOC-HASH-483,10.2.120.154,198.51.100.115,suspicious,Synthetic training data; not a real indicator
evt-file-hashes-000031,2025-03-02T06:10:04.804000+00:00,ENG-LAB-008,user033,python.exe,process_file_write,File Hash,MD5,66f81ed141ffe8c4bf007703b960ff5c,macro_template.dotm,C:\ProgramData,blocked,low,IOC-HASH-613,10.1.177.93,203.0.113.251,benign,Synthetic training data; not a real indicator
evt-file-hashes-000032,2025-03-02T06:20:27.278000+00:00,ENG-LAB-046,user044,svchost.exe,file_created,File Hash,SHA1,f64d251d93b9a272068930bbc61168293d26b4a3,archive.zip,C:\Users\user\AppData\Local\Temp,blocked,low,IOC-HASH-991,10.1.140.11,203.0.113.111,suspicious,Synthetic training data; not a real indicator
evt-file-hashes-000033,2025-03-02T07:02:26.882000+00:00,ENG-LAB-030,user015,winword.exe,file_quarantined,File Hash,MD5,c562926acb60b85c5a3c4c2f3302d564,agent.bin,C:\Users\Public\Downloads,allowed,medium,IOC-HASH-807,10.0.29.214,203.0.113.175,benign,Synthetic training data; not a real indicator
evt-file-hashes-000034,2025-03-02T07:22:55.861000+00:00,ENG-LAB-058,user030,msedge.exe,file_modified,File Hash,SHA256,b0a3bdabf612346750eb341658c6e959b637f5156c7feb87a6f1470d5d60a9a2,macro_template.dotm,C:\Program Files\Common Files,alerted,medium,IOC-HASH-539,10.1.194.32,203.0.113.33,benign,Synthetic training data; not a real indicator
evt-file-hashes-000035,2025-03-02T07:49:37.933000+00:00,ENG-LAB-014,user019,cmd.exe,file_modified,File Hash,MD5,77955bb466e1f70f7d6f72f918f3c37e,update.exe,C:\Users\user\AppData\Local\Temp,allowed,medium,IOC-HASH-311,10.1.202.251,198.51.100.148,benign,Synthetic training data; not a real indicator
evt-file-hashes-000036,2025-03-02T10:29:17.773000+00:00,ENG-LAB-008,user080,rundll32.exe,file_quarantined,File Hash,SHA256,8b4ed476bc216aad6f752817d923c699fa076c304baf88e2d2957cf263cd2019,helper.ps1,C:\Program Files\Common Files,allowed,medium,IOC-HASH-670,10.3.68.6,198.51.100.47,benign,Synthetic training data; not a real indicator
evt-file-hashes-000037,2025-03-02T10:51:52.738000+00:00,ENG-LAB-016,user008,python.exe,process_file_write,File Hash,SHA1,0f2cdcab7d6d2e9cf33ef9f8733397500d79e3bb,archive.zip,C:\Users\Public\Downloads,allowed,low,IOC-HASH-775,10.3.12.75,198.51.100.252,benign,Synthetic training data; not a real indicator
evt-file-hashes-000038,2025-03-02T11:52:21.985000+00:00,ENG-LAB-007,user038,rundll32.exe,process_file_write,File Hash,SHA256,f9d474c6139712de5c3a401b8f3675121d41fdb8ff5dfcbbc7a9c6392d904c62,macro_template.dotm,C:\Users\Public\Documents,allowed,medium,IOC-HASH-323,10.2.120.154,198.51.100.251,benign,Synthetic training data; not a real indicator
evt-file-hashes-000039,2025-03-02T13:35:35.433000+00:00,ENG-LAB-034,user025,cscript.exe,file_created,File Hash,SHA256,c2a0c8a447af51186c38367820d760a7e4ea90659d3be137f31a1dce25a423c3,archive.zip,C:\Users\user\Downloads,logged,medium,IOC-HASH-886,10.2.120.154,198.51.100.9,benign,Synthetic training data; not a real indicator
evt-file-hashes-000040,2025-03-02T15:20:04.695000+00:00,ENG-LAB-042,user083,chrome.exe,file_scanned,File Hash,SHA256,ce7d94770993af9c3add075f684701d1ed085aeb9159e11c8bd3e923a0c9d54f,agent.bin,C:\Users\user\Downloads,alerted,low,IOC-HASH-167,10.0.115.252,198.51.100.189,benign,Synthetic training data; not a real indicator
evt-file-hashes-000041,2025-03-02T15:58:43.451000+00:00,ENG-LAB-017,user069,regsvr32.exe,file_scanned,File Hash,SHA256,d400149fc556b30bc6bfd30a8e6f44bb2b1440746869c49743820c14dacd7df2,archive.zip,C:\Windows\Temp,allowed,high,IOC-HASH-588,10.3.101.4,198.51.100.75,malicious,Synthetic training data; not a real indicator
evt-file-hashes-000042,2025-03-02T16:57:45.648000+00:00,ENG-LAB-055,user059,regsvr32.exe,file_scanned,File Hash,SHA256,70c5c66bde059cc9550300192fafcfbe19e62583380da07a977b83890b574a7c,agent.bin,C:\Users\user\AppData\Local\Temp,blocked,high,IOC-HASH-444,10.3.77.180,203.0.113.235,benign,Synthetic training data; not a real indicator
evt-file-hashes-000043,2025-03-02T17:08:34.217000+00:00,ENG-LAB-014,user037,outlook.exe,file_scanned,File Hash,MD5,9384db23d9422abdce2c30e8c9d3792c,document.pdf,C:\Program Files\Common Files,allowed,low,IOC-HASH-512,10.1.98.26,198.51.100.248,benign,Synthetic training data; not a real indicator
evt-file-hashes-000044,2025-03-02T17:36:57.517000+00:00,ENG-LAB-053,user081,cscript.exe,file_created,File Hash,SHA1,dc9ce352d8af283d28187b790822aaf0b5e975b2,invoice.docm,C:\ProgramData,blocked,low,IOC-HASH-223,10.2.14.104,203.0.113.191,benign,Synthetic training data; not a real indicator
evt-file-hashes-000045,2025-03-02T17:50:00.247000+00:00,ENG-LAB-025,user059,wscript.exe,file_quarantined,File Hash,SHA1,5d30f69ab45fe7563432b60a66bc68dde2782b58,document.pdf,C:\ProgramData,alerted,medium,IOC-HASH-612,10.0.195.43,203.0.113.134,benign,Synthetic training data; not a real indicator
evt-file-hashes-000046,2025-03-02T18:44:13.327000+00:00,ENG-LAB-057,user037,python.exe,process_file_write,File Hash,MD5,ca78f4cda2f72544e89c55c71107cd65,invoice.docm,C:\Users\user\AppData\Local\Temp,logged,medium,IOC-HASH-512,10.2.197.151,203.0.113.238,malicious,Synthetic training data; not a real indicator
evt-file-hashes-000047,2025-03-02T18:46:56.515000+00:00,ENG-LAB-011,user053,explorer.exe,file_modified,File Hash,SHA256,0c5f698116db8eab6568db8f4f31480275bb2a2bb9642ae324c6505fad23cdb6,helper.ps1,C:\Users\Public\Documents,blocked,low,IOC-HASH-112,10.3.204.168,203.0.113.55,benign,Synthetic training data; not a real indicator
evt-file-hashes-000048,2025-03-02T19:33:49.297000+00:00,ENG-LAB-048,user015,winword.exe,process_file_write,File Hash,SHA1,c2a319e571ada616a8c103b1041e79d4ab90ba4c,helper.ps1,C:\Users\Public\Downloads,logged,low,IOC-HASH-117,10.2.232.81,203.0.113.231,benign,Synthetic training data; not a real indicator
evt-file-hashes-000049,2025-03-02T20:32:51.940000+00:00,ENG-LAB-027,user029,svchost.exe,file_quarantined,File Hash,MD5,a066dc312c18f33fe35adc85547fb858,agent.bin,C:\Windows\Temp,blocked,low,IOC-HASH-554,10.2.86.163,198.51.100.197,benign,Synthetic training data; not a real indicator
evt-file-hashes-000050,2025-03-02T20:52:37.470000+00:00,ENG-LAB-053,user052,svchost.exe,file_quarantined,File Hash,MD5,d2415186f68043308d729282e6e9cba2,document.pdf,C:\Users\Public\Downloads,blocked,medium,IOC-HASH-503,10.2.99.20,198.51.100.44,benign,Synthetic training data; not a real indicator
evt-file-hashes-000051,2025-03-02T21:36:20.181000+00:00,ENG-LAB-053,user059,chrome.exe,file_quarantined,File Hash,MD5,410d62c2fb4c60c2cc4aba28970bb8f7,helper.ps1,C:\ProgramData,logged,high,IOC-HASH-605,10.1.0.105,203.0.113.220,benign,Synthetic training data; not a real indicator
evt-file-hashes-000052,2025-03-02T21:46:10.581000+00:00,ENG-LAB-054,user013,svchost.exe,file_quarantined,File Hash,SHA256,70399828b6ca526785a583f9d56d8352acb2d073ac97562dd6f7392d93f6e4d6,service.dat,C:\Program Files\Common Files,alerted,medium,IOC-HASH-724,10.3.15.181,203.0.113.2,benign,Synthetic training data; not a real indicator
evt-file-hashes-000053,2025-03-02T22:01:49.106000+00:00,ENG-LAB-014,user016,outlook.exe,file_scanned,File Hash,SHA1,92480056de37ba4e12411b18c40c31987416c052,helper.ps1,C:\Users\user\Downloads,alerted,high,IOC-HASH-615,10.2.86.163,198.51.100.232,benign,Synthetic training data; not a real indicator
evt-file-hashes-000054,2025-03-02T22:17:20.584000+00:00,ENG-LAB-041,user097,svchost.exe,file_scanned,File Hash,SHA256,d86a4fbce611038517afb0432bb69ffe290a0faaab7be7cf40479da58cc1c88f,agent.bin,C:\Users\Public\Documents,alerted,high,IOC-HASH-307,10.2.92.149,198.51.100.166,suspicious,Synthetic training data; not a real indicator
evt-file-hashes-000055,2025-03-02T22:33:19.849000+00:00,ENG-LAB-021,user076,winword.exe,file_quarantined,File Hash,SHA256,d731d5436c2f1d6985818d249d2d52ef5ffa5761d75cfa2266e04fabdd577854,helper.ps1,C:\Users\Public\Downloads,quarantined,medium,IOC-HASH-649,10.2.50.100,198.51.100.24,suspicious,Synthetic training data; not a real indicator
evt-file-hashes-000056,2025-03-02T22:49:50.422000+00:00,ENG-LAB-059,user044,winword.exe,file_quarantined,File Hash,SHA256,7f85794d34ddcca50f2b08169a92bf1aaa59b283f93a56ca3dcfe4070cffcf25,update.exe,C:\Users\Public\Documents,alerted,medium,IOC-HASH-438,10.0.139.221,198.51.100.137,benign,Synthetic training data; not a real indicator
evt-file-hashes-000057,2025-03-02T23:07:35.027000+00:00,ENG-LAB-014,user019,cscript.exe,process_file_write,File Hash,MD5,81c3cf8ca04cd80634158a4d58bc765b,agent.bin,C:\Program Files\Common Files,logged,low,IOC-HASH-970,10.1.31.128,198.51.100.63,suspicious,Synthetic training data; not a real indicator
evt-file-hashes-000058,2025-03-02T23:49:18.265000+00:00,ENG-LAB-027,user036,outlook.exe,file_scanned,File Hash,SHA256,bc51d19fd0e2ecbdb932c3cf5d8f502e9f3151242e444adae718293d2273bc81,document.pdf,C:\ProgramData,blocked,medium,IOC-HASH-113,10.0.247.196,198.51.100.134,benign,Synthetic training data; not a real indicator
evt-file-hashes-000059,2025-03-03T00:24:03.380000+00:00,ENG-LAB-026,user003,msedge.exe,file_quarantined,File Hash,SHA256,b7fd0b8a08eed86a71319f6aa608497541472bc58b8b1c6ae720cb4dcb04eba1,invoice.docm,C:\Windows\Temp,quarantined,low,IOC-HASH-526,10.1.207.232,198.51.100.22,benign,Synthetic training data; not a real indicator
evt-file-hashes-000060,2025-03-03T01:26:55.402000+00:00,ENG-LAB-040,user081,rundll32.exe,file_scanned,File Hash,SHA1,66bbf0fc6d9c21beb86f57830de24555135c0fe4,service.dat,C:\Program Files\Common Files,blocked,low,IOC-HASH-491,10.2.162.62,203.0.113.32,benign,Synthetic training data; not a real indicator
evt-file-hashes-000061,2025-03-03T01:45:01.110000+00:00,ENG-LAB-055,user021,svchost.exe,process_file_write,File Hash,SHA256,925021ab683d8b3ecd50fb9b2a7e094202dd38c45d7a54f83f75e97eb4d18d68,setup.tmp,C:\Users\user\Downloads,quarantined,medium,IOC-HASH-269,10.2.154.30,203.0.113.196,benign,Synthetic training data; not a real indicator
evt-file-hashes-000062,2025-03-03T02:10:16.461000+00:00,ENG-LAB-052,user050,outlook.exe,file_created,File Hash,SHA256,fd6657ac297c1e62d7fc61cca630e79cb9a8e6617b63cc853546b94a5feb9b18,payload.dll,C:\Users\Public\Documents,blocked,medium,IOC-HASH-119,10.1.115.112,203.0.113.75,benign,Synthetic training data; not a real indicator
evt-file-hashes-000063,2025-03-03T02:58:30.937000+00:00,ENG-LAB-058,user013,regsvr32.exe,process_file_write,File Hash,SHA256,ee4f06d3a94f6a71a12eaba7d9273faef14cce7c4c4bad01704f1422d02af895,helper.ps1,C:\Users\user\Downloads,logged,low,IOC-HASH-154,10.1.167.9,203.0.113.24,benign,Synthetic training data; not a real indicator
evt-file-hashes-000064,2025-03-03T03:52:31.639000+00:00,ENG-LAB-001,user077,cmd.exe,file_quarantined,File Hash,SHA1,3e335e05fe2408f05586f7d449463ab92048e0db,invoice.docm,C:\Users\user\Downloads,blocked,medium,IOC-HASH-859,10.0.136.237,203.0.113.155,benign,Synthetic training data; not a real indicator
evt-file-hashes-000065,2025-03-03T04:09:43.269000+00:00,ENG-LAB-059,user064,wscript.exe,file_created,File Hash,SHA1,cdd521182cd0153c8b3f0e132a34c9cfa87f860d,archive.zip,C:\Users\user\Downloads,allowed,medium,IOC-HASH-106,10.1.65.187,198.51.100.141,benign,Synthetic training data; not a real indicator
evt-file-hashes-000066,2025-03-03T04:46:33.037000+00:00,ENG-LAB-023,user059,rundll32.exe,file_modified,File Hash,SHA256,9e33072a9cbacc0f44ed84d525c81054e36e539d083995e4f9270d4fd8d75228,helper.ps1,C:\ProgramData,blocked,low,IOC-HASH-635,10.3.204.168,203.0.113.30,suspicious,Synthetic training data; not a real indicator
evt-file-hashes-000067,2025-03-03T04:52:51.695000+00:00,ENG-LAB-013,user080,rundll32.exe,file_created,File Hash,SHA256,bd4833b0e9308262724c35d719d216376a19e7d84968b98c5c4a6c212d5e7513,service.dat,C:\ProgramData,logged,medium,IOC-HASH-491,10.2.131.113,198.51.100.218,benign,Synthetic training data; not a real indicator
evt-file-hashes-000068,2025-03-03T05:00:14.655000+00:00,ENG-LAB-012,user013,chrome.exe,process_file_write,File Hash,SHA1,195e65730388065c094c6c64a0ed5ff51f61d4dd,archive.zip,C:\Program Files\Common Files,allowed,critical,IOC-HASH-191,10.1.47.49,198.51.100.250,malicious,Synthetic training data; not a real indicator
evt-file-hashes-000069,2025-03-03T05:13:21.209000+00:00,ENG-LAB-007,user059,svchost.exe,process_file_write,File Hash,SHA1,eb6781172dadaee235a123880090f5fa72951791,helper.ps1,C:\Users\Public\Downloads,blocked,high,IOC-HASH-389,10.1.0.105,198.51.100.119,suspicious,Synthetic training data; not a real indicator
evt-file-hashes-000070,2025-03-03T08:32:02.215000+00:00,ENG-LAB-041,user015,winword.exe,file_modified,File Hash,MD5,a620abdb71b0a25a44254e2449955fe2,service.dat,C:\Users\Public\Documents,alerted,medium,IOC-HASH-485,10.2.157.2,198.51.100.66,benign,Synthetic training data; not a real indicator
evt-file-hashes-000071,2025-03-03T09:27:31.766000+00:00,ENG-LAB-029,user069,regsvr32.exe,file_quarantined,File Hash,MD5,9032fd43f910c5899e15bbdaf303362f,update.exe,C:\Users\user\Downloads,logged,medium,IOC-HASH-872,10.2.146.217,198.51.100.249,benign,Synthetic training data; not a real indicator
evt-file-hashes-000072,2025-03-03T12:43:11.720000+00:00,ENG-LAB-047,user089,explorer.exe,file_quarantined,File Hash,SHA256,c7c065b2b20cfd7b4d134e2b2c7f6319c7babf234d11b1b50a9b865554a2db34,setup.tmp,C:\ProgramData,quarantined,low,IOC-HASH-125,10.0.173.31,198.51.100.39,benign,Synthetic training data; not a real indicator
evt-file-hashes-000073,2025-03-03T13:54:27.087000+00:00,ENG-LAB-029,user017,chrome.exe,file_quarantined,File Hash,MD5,03cb8a92f4b9530c8f0c7307acff711f,service.dat,C:\Program Files\Common Files,quarantined,high,IOC-HASH-857,10.0.193.27,203.0.113.143,malicious,Synthetic training data; not a real indicator
evt-file-hashes-000074,2025-03-03T14:17:43.032000+00:00,ENG-LAB-054,user039,cscript.exe,file_quarantined,File Hash,MD5,1506a5ce50a44ce84d9fc6d30ec09676,service.dat,C:\Users\Public\Documents,quarantined,medium,IOC-HASH-279,10.1.73.8,198.51.100.249,suspicious,Synthetic training data; not a real indicator
evt-file-hashes-000075,2025-03-03T15:12:38.353000+00:00,ENG-LAB-050,user086,chrome.exe,file_quarantined,File Hash,SHA256,4f842024bdb1bfa2305394f10db7006184346fe0c0de829a0f5d4f101310bbcf,macro_template.dotm,C:\Users\user\Downloads,logged,high,IOC-HASH-175,10.2.122.173,203.0.113.243,malicious,Synthetic training data; not a real indicator
evt-file-hashes-000076,2025-03-03T15:22:49.161000+00:00,ENG-LAB-036,user028,chrome.exe,file_created,File Hash,SHA256,545949ae582c2991d8c0f9010b57eb5fb90ffb721df7042bde14b0f4492330a2,agent.bin,C:\Users\Public\Documents,allowed,high,IOC-HASH-891,10.1.76.176,203.0.113.79,benign,Synthetic training data; not a real indicator
evt-file-hashes-000077,2025-03-03T15:51:53.312000+00:00,ENG-LAB-058,user026,outlook.exe,file_quarantined,File Hash,SHA256,6f7b35d10f9d7a4122eae6e77520dbb41b50ef11d250119a6f705db8df25bb3b,setup.tmp,C:\Users\user\Downloads,quarantined,low,IOC-HASH-690,10.0.137.7,198.51.100.189,benign,Synthetic training data; not a real indicator
evt-file-hashes-000078,2025-03-03T16:42:14.089000+00:00,ENG-LAB-010,user009,winword.exe,file_created,File Hash,SHA1,ed58c2c445f58f325d2c63e2dd3b9956e614500a,archive.zip,C:\Users\user\Downloads,allowed,low,IOC-HASH-201,10.1.189.212,198.51.100.68,suspicious,Synthetic training data; not a real indicator
evt-file-hashes-000079,2025-03-03T18:35:56.645000+00:00,ENG-LAB-003,user011,chrome.exe,file_modified,File Hash,SHA1,c7f021ccc2a802bf67b50a3cc40dd79330c4ae49,agent.bin,C:\Users\Public\Downloads,allowed,low,IOC-HASH-329,10.2.133.215,203.0.113.50,benign,Synthetic training data; not a real indicator
